Bundle_Size,Number_Of_Bundles
1,100000000
2,50000000
4,25000000
5,20000000
8,12500000
10,10000000
16,6250000
20,5000000
25,4000000
32,3125000
40,2500000
50,2000000
64,1562500
80,1250000
100,1000000
125,800000
128,781250
160,625000
200,500000
250,400000
256,390625
320,312500
400,250000
500,200000
625,160000
640,156250
800,125000
1000,100000
1250,80000
1280,78125
1600,62500
2000,50000
2500,40000
3125,32000
3200,31250
4000,25000
5000,20000
6250,16000
6400,15625
8000,12500
10000,10000
12500,8000
15625,6400
16000,6250
20000,5000
25000,4000
31250,3200
32000,3125
40000,2500
50000,2000
62500,1600
78125,1280
80000,1250
100000,1000
125000,800
156250,640
160000,625
200000,500
250000,400
312500,320
390625,256
400000,250
500000,200
625000,160
781250,128
800000,125
1000000,100
1250000,80
1562500,64
2000000,50
2500000,40
3125000,32
4000000,25
5000000,20
6250000,16
10000000,10
12500000,8
20000000,5
25000000,4
50000000,2
100000000,1
